"pathway_id","gene_expl","pathway_name","orig_pred","med_perm","mean_perm","sd_perm","med_perm_imp","mean_perm_imp","mean_abs_perm_imp","med_abs_perm_imp","mean_abs_perm_imp_norm","med_abs_perm_imp_norm","mean_abs_perm_imp_norm_log2node","med_abs_perm_imp_norm_log2node","mean_abs_perm_imp_norm_sqrtnode","med_abs_perm_imp_norm_sqrtnode","sd_perm_imp","all_gene_counts","graph_gene_counts"
"REACT:R-HSA-1280215","OSMR","Cytokine Signaling in Immune system",0.965081927,0.8959759,0.763261560765,0.283040906075627,0.05724638,0.201820366235,0.220078801175,0.08218321,0.00037556109415529,0.000140244385665529,0.0239352496927803,0.00893805146793781,0.00909137147902711,0.00339495711290602,0.295225900360418,760,586
"REACT:R-HSA-1280215","OSM","Cytokine Signaling in Immune system",0.966355366,0.9102704,0.786309805723,0.254297831478918,0.060298705,0.180045560277,0.189338129577,0.063441505,0.000323102610199659,0.000108261953924915,0.0205919669845252,0.00689974797642285,0.00782148604017484,0.00262074441547383,0.246853173970488,760,586
"REACT:R-HSA-1280218","PTPN22","Adaptive Immune System",0.79336991,0.44191648,0.4593160341131,0.266871726077847,0.296684885,0.3340538758869,0.3557471682469,0.299756705,0.000565575784176312,0.00047656073926868,0.0382650720228782,0.0322425951067725,0.0141845685041789,0.0119520825355058,0.293792587570321,818,629
"REACT:R-HSA-168256","OSMR","Immune System",0.965081927,0.5818656,0.561655978528,0.309777176259455,0.379730325,0.403425948472,0.409238823132,0.379730325,0.000263345446030888,0.000244356708494208,0.0386009876368459,0.0358176320332456,0.0103812899203737,0.00963273856867485,0.317758731182795,2118,1554
"REACT:R-HSA-168256","PTPN22","Immune System",0.79336991,0.6994982,0.627354631427,0.301811477891322,0.09406895,0.166015278573,0.276418454373,0.21197392,0.000177875453264479,0.000136405353925354,0.0260728570622602,0.0199941994814469,0.00701199385783131,0.0053772090884161,0.332839641013798,2118,1554
"REACT:R-HSA-168256","OSM","Immune System",0.966355366,0.65334779,0.5964619812806,0.333938809163246,0.2911969,0.3698933847194,0.3748775992594,0.2911969,0.0002412339763574,0.000187385392535393,0.0353599041840541,0.0274668171772213,0.00950963794876866,0.00738688333545274,0.327312547694282,2118,1554
"REACT:R-HSA-202403","PTPN22","TCR signaling",0.79336991,0.5781617,0.559853233537,0.264541689817174,0.191709505,0.233516676463,0.254855889063,0.200066405,0.00274038590390323,0.00215125166666667,0.0389738032711605,0.0305951286364461,0.0264273246075907,0.0207459197723374,0.22382464368089,122,93
"REACT:R-HSA-202427","PTPN22","Phosphorylation of CD3 and TCR zeta chains",0.79336991,0.8313895,0.76268063666,0.226200949804231,0.0121988750000001,0.03068927334,0.06961354298,0.0431375150000001,0.00632850390727273,0.00392159227272728,0.0201228267108865,0.0124695382812603,0.0209892729447217,0.0130064501493935,0.100389125061154,25,11
"REACT:R-HSA-202430","PTPN22","Translocation of ZAP-70 to Immunological synapse",0.79336991,0.88612075,0.81410731784,0.192390626374831,-0.00140252499999993,-0.02073740784,0.0557472485,0.035943955,0.0069684060625,0.004492994375,0.0185824161666667,0.0119813183333333,0.0197096287234208,0.0127081071615821,0.0811400882326625,22,8
"REACT:R-HSA-449147","OSMR","Signaling by Interleukins",0.965081927,0.93429485,0.809409514696,0.262287263798842,0.02946778,0.155672412304,0.174359382624,0.04097395,0.000398080782246575,9.35478310502283e-05,0.0198704973054839,0.00466950932503453,0.00833121356268052,0.00195781106137965,0.272113670571387,528,438
"REACT:R-HSA-449147","OSM","Signaling by Interleukins",0.966355366,0.92483113,0.797668101144,0.252415824023372,0.05011061,0.168687264856,0.179277363156,0.05466657,0.00040930904830137,0.000124809520547945,0.020430964528061,0.00622995972764775,0.00856620376219019,0.00261206975245698,0.240902187240739,528,438
"REACT:R-HSA-6783589","OSM","Interleukin-6 family signaling",0.966355366,0.991404355,0.92934409028,0.144657167320046,-0.000254375000000029,0.03701127572,0.06178289414,0.023108075,0.00237626515923077,0.000888772115384616,0.0131440669053902,0.00491615176146513,0.0121166224163884,0.00453186635948329,0.127200806853535,27,26
"REACT:R-HSA-6783589","OSMR","Interleukin-6 family signaling",0.965081927,0.99275692,0.9648453154,0.0606661182316604,0.000352950000000074,0.000236611600000005,0.03055928226,0.00830103999999998,0.00117535701,0.000319270769230769,0.0065013667002383,0.00176601350038861,0.00599316832942807,0.00162796788242747,0.063496088836038,27,26
"REACT:R-HSA-6785807","OSM","Interleukin-4 and 13 signaling",0.966355366,0.97736365,0.887993126984,0.185490239179174,0.00700118499999997,0.078362239016,0.097439639316,0.0304973199999999,0.001014996242875,0.000317680416666666,0.0147972960066711,0.00463135818870039,0.0099448915435431,0.00311261968843234,0.175903048752104,114,96
"REACT:R-HSA-6788467","OSM","IL-6-type cytokine receptor ligand interactions",0.966355366,0.99625468,0.95570827569,0.103681650738968,-0.001686625,0.01064709031,0.04018382207,0.01174417,0.00211493800368421,0.000618114210526316,0.00945962988841704,0.00276468229809307,0.00921880102991312,0.00269429737925063,0.0858272109900563,20,19
"REACT:R-HSA-6788467","OSMR","IL-6-type cytokine receptor ligand interactions",0.965081927,0.994767,0.96959745217,0.0537377139422896,5.94849999999703e-05,-0.00451552516999999,0.02154627119,0.00497573000000001,0.00113401427315789,0.00026188052631579,0.00507218428794081,0.00117133119250579,0.00494305361722799,0.00114151074949177,0.0451478626654558,20,19
