"proba","source"
0.1473986173,"time-sliced"
0.832552268,"time-sliced"
0.2092236264,"time-sliced"
0.845203161,"time-sliced"
0.1135879786,"time-sliced"
0.705344232,"time-sliced"
0.906105556,"time-sliced"
0.870204828,"time-sliced"
0.7685901775,"time-sliced"
0.401627961,"time-sliced"
0.16050279113,"time-sliced"
0.805455015,"time-sliced"
0.938611339,"time-sliced"
0.905663593,"time-sliced"
0.4798849605,"time-sliced"
0.12096668445,"time-sliced"
0.6681193487,"time-sliced"
0.8608607494,"time-sliced"
0.38722475748,"time-sliced"
0.2440907938,"time-sliced"
0.424480139,"time-sliced"
0.3660501016,"time-sliced"
0.647130418,"time-sliced"
0.4524430969,"time-sliced"
0.928786368,"time-sliced"
0.61861803904,"time-sliced"
0.899469148,"time-sliced"
0.639710997,"time-sliced"
0.5399179406,"time-sliced"
0.505645280369,"time-sliced"
0.861619024,"time-sliced"
0.6593646757,"time-sliced"
0.546203424,"time-sliced"
0.2313140039,"time-sliced"
0.7729050904,"time-sliced"
0.3930128994,"time-sliced"
0.286035031876867,"random"
0.285645533532917,"random"
0.232280369536022,"random"
0.244350498107558,"random"
0.339653431677314,"random"
0.210378198773008,"random"
0.290666689967361,"random"
0.294157205578547,"random"
0.340007782951806,"random"
0.257005047830611,"random"
0.325460214237386,"random"
0.228803359973247,"random"
0.279987272196333,"random"
0.295627036392736,"random"
0.257024885522044,"random"
0.321838774428667,"random"
0.295727797443073,"random"
0.259085537823042,"random"
0.307861608239528,"random"
0.198392813458417,"random"
0.288805313692111,"random"
0.275176431052714,"random"
0.262206721989509,"random"
0.264706126750133,"random"
0.309933954166214,"random"
0.323516184819417,"random"
0.295117187745083,"random"
0.3251072855525,"random"
0.262131378525822,"random"
0.223945410813036,"random"
0.268812105637917,"random"
0.270249310380361,"random"
0.238922158096354,"random"
0.321396415375361,"random"
0.291488622282725,"random"
0.244526016266028,"random"
0.22316243807675,"random"
0.251752000559417,"random"
0.223946791416433,"random"
0.25930508083585,"random"
0.26709575505,"random"
0.304565709621167,"random"
0.259320540002741,"random"
0.2738390837552,"random"
0.263598172111128,"random"
0.318371021848667,"random"
0.301239621243333,"random"
0.248488698917269,"random"
0.317230565512597,"random"
0.239254581562633,"random"
0.217016344293233,"random"
0.3465378429065,"random"
0.313795804629228,"random"
0.343514410652032,"random"
0.238723366779983,"random"
0.233054910741269,"random"
0.316838176746271,"random"
0.267821122842313,"random"
0.329674867176299,"random"
0.303901222401903,"random"
0.362855181956583,"random"
0.317882900341169,"random"
0.302448327366222,"random"
0.261432421382811,"random"
0.264071304520325,"random"
0.276301945243956,"random"
0.25308371075075,"random"
0.244093539492857,"random"
0.263569182640306,"random"
0.240222126165746,"random"
0.285003311561434,"random"
0.221538655324333,"random"
0.225406839947583,"random"
0.242018606074071,"random"
0.317802768326075,"random"
0.221142975890857,"random"
0.333774676067528,"random"
0.304248827375944,"random"
0.255380696795078,"random"
0.360234704194649,"random"
0.269302694053567,"random"
0.315012560088491,"random"
0.233552496515275,"random"
0.268866407449228,"random"
0.275331072355222,"random"
0.228035658806144,"random"
0.292712270941496,"random"
0.233597973951333,"random"
0.291064719827832,"random"
0.241700685125111,"random"
0.237560236894771,"random"
0.273156217244639,"random"
0.254418476065446,"random"
0.246607102724728,"random"
0.226833275133133,"random"
0.261059915018056,"random"
0.226199829595278,"random"
0.273906210926697,"random"
0.338298284610278,"random"
0.262283823439833,"random"
0.246673653099647,"random"
0.268669175897306,"random"
0.277065159140828,"random"
0.263386620411167,"random"
0.220309055719142,"random"
0.253176232607361,"random"
0.229505560687741,"random"
0.306452246611079,"random"
0.348658797510333,"random"
0.270191325892528,"random"
0.32296607784375,"random"
0.255901479183222,"random"
0.265860495302572,"random"
0.314992629497366,"random"
0.280586123994253,"random"
0.224369814390833,"random"
0.243050204283275,"random"
0.205444047448714,"random"
0.246500294747694,"random"
0.313922188363611,"random"
0.22814268886735,"random"
0.349475742499953,"random"
0.302472565797699,"random"
0.259234747390972,"random"
0.180117552269722,"random"
0.279291375541029,"random"
0.294018679655083,"random"
0.29349900852299,"random"
0.261437516898131,"random"
0.246117278286944,"random"
0.310119047136333,"random"
0.31160423210396,"random"
0.299381401785972,"random"
0.265255616238528,"random"
0.256431244301283,"random"
0.282845488916108,"random"
0.263194385222059,"random"
0.236624672085755,"random"
0.24614598169575,"random"
0.259678052103611,"random"
0.253785509367354,"random"
0.3083652199225,"random"
0.253196245714458,"random"
0.269675967726806,"random"
0.28580619977374,"random"
0.260418710375816,"random"
0.198141870075386,"random"
0.197447550393083,"random"
0.267370458052942,"random"
0.231585302429514,"random"
0.262285333133745,"random"
0.262375601028778,"random"
0.351950332399422,"random"
0.279224774155108,"random"
0.277028389412799,"random"
0.253831673385694,"random"
0.239154723199987,"random"
0.254767304176173,"random"
0.306073110304,"random"
0.246703132076106,"random"
0.310510848730778,"random"
0.344756246270806,"random"
0.261721573199639,"random"
0.286506620885684,"random"
0.231105150447628,"random"
0.308928318664126,"random"
0.249806620904611,"random"
0.272556863044583,"random"
0.277457577640214,"random"
0.292561483404958,"random"
0.295717907426097,"random"
0.282714318514228,"random"
0.328975132546637,"random"
0.200190708871558,"random"
0.264142663147111,"random"
0.275591528491806,"random"
0.297169555471585,"random"
0.253807859800556,"random"
0.242443522726695,"random"
0.31156879439827,"random"
0.215943018604108,"random"
0.274266525526297,"random"
0.269872302123539,"random"
0.275889408176847,"random"
0.243825783905972,"random"
0.218065734729917,"random"
0.342302506145068,"random"
0.293696128835611,"random"
0.278558355833333,"random"
0.2663544977988,"random"
0.284558129869444,"random"
0.221352401343971,"random"
0.262984712427583,"random"
0.229907232021944,"random"
0.248701939483017,"random"
0.315224910364278,"random"
0.24967949879399,"random"
0.285816199211769,"random"
0.266551002118957,"random"
0.300654909319514,"random"
0.219572500803758,"random"
0.317607887933169,"random"
0.163511345813889,"random"
0.306835869464514,"random"
0.28798223005875,"random"
0.26120278494575,"random"
0.260056683825806,"random"
0.254862736965714,"random"
0.246747543563308,"random"
0.281030887464583,"random"
