"id","mean_prob","new_targs"
1,0.641049297,"no"
2,0.1697257274,"no"
3,0.83371061046,"no"
4,0.23519312496,"no"
5,0.1158473746,"no"
6,0.3345247574,"no"
7,0.30402149807,"no"
8,0.0814006381,"no"
9,0.1589955077,"no"
10,0.1293213381,"no"
11,0.0819127165,"no"
12,0.2847750022,"no"
13,0.0855987142,"no"
14,0.053502013795,"no"
15,0.1634424173,"no"
16,0.48423545374,"no"
17,0.16876943808,"no"
18,0.68319998245,"no"
19,0.6023793122,"no"
20,0.263486172,"no"
21,0.0515847326,"no"
22,0.1058705004,"no"
23,0.1426553115,"no"
24,0.416253844,"no"
25,0.2600110316,"no"
26,0.1621192785,"no"
27,0.1825120348,"no"
28,0.1972503656,"no"
29,0.572779753,"no"
30,0.1682131796,"no"
31,0.42510878822,"no"
32,0.76183945,"no"
33,0.1943156662,"no"
34,0.2025041496,"no"
35,0.0709042927,"no"
36,0.3340784154,"no"
37,0.826053766,"no"
38,0.08974151683,"no"
39,0.13050499973,"no"
40,0.3955938537,"no"
41,0.1044926052,"no"
42,0.4203942575,"no"
43,0.15754498736,"no"
44,0.41848728764,"no"
45,0.2072398123,"no"
46,0.0902023535,"no"
47,0.0362281316,"no"
48,0.07593448714,"no"
49,0.0935167578,"no"
50,0.1395401613,"no"
51,0.08838365985,"no"
52,0.130858198805,"no"
53,0.2038583853,"no"
54,0.2171476093,"no"
55,0.3444534765,"no"
56,0.1633285251,"no"
57,0.1037822106,"no"
58,0.1399302929,"no"
59,0.1018066227,"no"
60,0.1205379704,"no"
61,0.0749735194,"no"
62,0.1193956488,"no"
63,0.1830400139,"no"
64,0.1866935533,"no"
65,0.1715259869,"no"
66,0.1190798182,"no"
67,0.24354381397,"no"
68,0.2450390346,"no"
69,0.6422326543,"no"
70,0.156130159009,"no"
71,0.1126113154,"no"
72,0.0704498626,"no"
73,0.672334244,"no"
74,0.783988545,"no"
75,0.0662041125925,"no"
76,0.1502361197,"no"
77,0.0666176172,"no"
78,0.50926712749,"no"
79,0.265279551,"no"
80,0.212901142,"no"
81,0.1492979335,"no"
82,0.05262599383,"no"
83,0.0885854892,"no"
84,0.1391239426,"no"
85,0.136579405,"no"
86,0.0813553987,"no"
87,0.136580945,"no"
88,0.0811789573,"no"
89,0.253507036,"no"
90,0.2173893685,"no"
91,0.203887847,"no"
92,0.2119129806,"no"
93,0.0516989919,"no"
94,0.46230089,"no"
95,0.2930332175,"no"
96,0.061643433708,"no"
97,0.45881912228,"no"
98,0.1507950932,"no"
99,0.0923979304,"no"
100,0.07905754802,"no"
101,0.10756182937,"no"
102,0.0478973063,"no"
103,0.2576230077,"no"
104,0.11952839574,"no"
105,0.0853446613,"no"
106,0.247219893,"no"
107,0.2088507043,"no"
108,0.92143408,"no"
109,0.27205271896,"no"
110,0.213473776,"no"
111,0.2695154364,"no"
112,0.038179701801,"no"
113,0.9905475634,"no"
114,0.22929211148,"no"
115,0.97038829,"no"
116,0.07880905102,"no"
117,0.37807629005,"no"
118,0.098257495,"no"
119,0.15154530946,"no"
120,0.131276591,"no"
121,0.09303496353,"no"
