"CV_fold","feature","auc","set"
0,"GiG",0.718467038658158,"Perm"
0,"GiG",0.67663470212837,"Perm"
0,"GiG",0.705102074910622,"Perm"
0,"GiG",0.742557385813091,"Perm"
0,"GiG",0.678773096327976,"Perm"
0,"GiG",0.693942330181429,"Perm"
0,"GiG",0.681713388352434,"Perm"
0,"GiG",0.67289251227906,"Perm"
0,"GiG",0.694543753550068,"Perm"
0,"GiG",0.686691837348391,"Perm"
0,"GiG",0.745397440609442,"Perm"
0,"GiG",0.648501453439808,"Perm"
0,"GiG",0.67493066925056,"Perm"
0,"GiG",0.664572822346219,"Perm"
0,"GiG",0.691803935981824,"Perm"
0,"GiG",0.660095559490795,"Perm"
0,"GiG",0.649403588492766,"Perm"
0,"GiG",0.685956764342277,"Perm"
0,"GiG",0.730796217715259,"Perm"
0,"GiG",0.705770323097999,"Perm"
0,"GiG",0.651241271008052,"Perm"
0,"GiG",0.70399946540145,"Perm"
0,"GiG",0.704634301179458,"Perm"
0,"GiG",0.695412476193658,"Perm"
0,"GiG",0.69825253099001,"Perm"
0,"GiG",0.689999665875906,"Perm"
0,"GiG",0.689999665875906,"Perm"
0,"GiG",0.682548698586655,"Perm"
0,"GiG",0.708911089578669,"Perm"
0,"GiG",0.720839319723345,"Perm"
0,"GiG",0.671221891810618,"Perm"
0,"GiG",0.6642721106619,"Perm"
0,"GiG",0.710481472819005,"Perm"
0,"GiG",0.721407330682616,"Perm"
0,"GiG",0.70142670988005,"Perm"
0,"GiG",0.681579738714959,"Perm"
0,"GiG",0.7273213271409,"Perm"
0,"GiG",0.683584483277089,"Perm"
0,"GiG",0.692004410438037,"Perm"
0,"GiG",0.709880049450366,"Perm"
0,"GiG",0.67780413645628,"Perm"
0,"GiG",0.67519796852551,"Perm"
0,"GiG",0.669484446523439,"Perm"
0,"GiG",0.719803535032911,"Perm"
0,"GiG",0.686558187710916,"Perm"
0,"GiG",0.679742056199673,"Perm"
0,"GiG",0.668615723879849,"Perm"
0,"GiG",0.670720705670086,"Perm"
0,"GiG",0.686257476026596,"Perm"
0,"GiG",0.671522603494938,"Perm"
0,"GiG",0.712619867018611,"Perm"
0,"GiG",0.715794045908651,"Perm"
0,"GiG",0.707641418022654,"Perm"
0,"GiG",0.683016472317819,"Perm"
0,"GiG",0.689197768051054,"Perm"
0,"GiG",0.6970830966621,"Perm"
0,"GiG",0.713455177252832,"Perm"
0,"GiG",0.727388151959638,"Perm"
0,"GiG",0.717130542283404,"Perm"
0,"GiG",0.643222292759531,"Perm"
0,"GiG",0.717865615289519,"Perm"
0,"GiG",0.714524374352635,"Perm"
0,"GiG",0.700357512780247,"Perm"
0,"GiG",0.720070834307862,"Perm"
0,"GiG",0.720538608039026,"Perm"
0,"GiG",0.688930468776103,"Perm"
0,"GiG",0.733636272511611,"Perm"
0,"GiG",0.691235925022553,"Perm"
0,"GiG",0.713922950983995,"Perm"
0,"GiG",0.691135687794447,"Perm"
0,"GiG",0.697717932440108,"Perm"
0,"GiG",0.674596545156871,"Perm"
0,"GiG",0.697985231715059,"Perm"
0,"GiG",0.701794246383107,"Perm"
0,"GiG",0.694911290053126,"Perm"
0,"GiG",0.694042567409536,"Perm"
0,"GiG",0.723445487654115,"Perm"
0,"GiG",0.677202713087641,"Perm"
0,"GiG",0.701694009155,"Perm"
0,"GiG",0.725182932941294,"Perm"
0,"GiG",0.691202512613184,"Perm"
0,"GiG",0.662868789468409,"Perm"
0,"GiG",0.669785158207758,"Perm"
0,"GiG",0.713722476527782,"Perm"
0,"GiG",0.70055798723646,"Perm"
0,"GiG",0.704901600454409,"Perm"
0,"GiG",0.678171672959337,"Perm"
0,"GiG",0.693274081994052,"Perm"
0,"GiG",0.715259447358749,"Perm"
0,"GiG",0.674429483110027,"Perm"
0,"GiG",0.739450031741789,"Perm"
0,"GiG",0.697985231715059,"Perm"
0,"GiG",0.699321728089813,"Perm"
0,"GiG",0.694176217047011,"Perm"
0,"GiG",0.700591399645828,"Perm"
0,"GiG",0.670854355307561,"Perm"
0,"GiG",0.675999866350363,"Perm"
0,"GiG",0.70717364429149,"Perm"
0,"GiG",0.722042166460624,"Perm"
0,"GiG",0.704467239132614,"Perm"
0,"GiG",0.689147649437001,"Perm"
0,"GiG",0.728357111831334,"Perm"
0,"GiG",0.701393297470681,"Perm"
0,"GiG",0.70830966621003,"Perm"
0,"GiG",0.718299976611314,"Perm"
0,"GiG",0.703899228173343,"Perm"
0,"GiG",0.718199739383207,"Perm"
0,"GiG",0.671021417354406,"Perm"
0,"GiG",0.713154465568512,"Perm"
0,"GiG",0.700524574827091,"Perm"
0,"GiG",0.705636673460523,"Perm"
0,"GiG",0.690233552741488,"Perm"
