"phenotype","keep"
"CD25++ CD45RA- CD4 not regulatory T cell %CD4+ T cell",1
"CD25++ CD45RA- CD4 not regulatory T cell %T cell",1
"CD45RA- CD4+ T cell Absolute Count",1
"CD45RA- CD4+ T cell %CD4+ T cell",1
"CD45RA- CD4+ T cell %T cell",1
"CD62L- Dendritic Cell %Dendritic Cell",1
"CD86+ myeloid Dendritic Cell Absolute Count",1
"CD86+ myeloid Dendritic Cell %Dendritic Cell",1
"CD86+ plasmacytoid Dendritic Cell %Dendritic Cell",1
"CD62L- myeloid Dendritic Cell Absolute Count",1
"CD62L- myeloid Dendritic Cell %Dendritic Cell",1
"CD62L- CD86+ myeloid Dendritic Cell Absolute Count",1
"CD62L- CD86+ myeloid Dendritic Cell %Dendritic Cell",1
"T/B cell",1
"CD4+ T cell Absolute Count",1
"CD4+ T cell %T cell",1
"CD4+CD8+ T cell Absolute Count",1
"CD4+CD8+ T cell %T cell",1
"CD8dim T cell Absolute Count",1
"CD8dim T cell %T cell",1
"CD4-CD8- T cell Absolute Count",1
"CD62L- monocyte Absolute Count",1
"CD62L- monocyte %monocyte",1
"CD11c+ CD62L- monocyte Absolute Count",1
"CD11c+ HLA DR++ monocyte %monocyte",1
"Plasmacytoid Dendritic Cell Absolute Count",1
"Dendritic Cell Absolute Count",1
"CD62L- Dendritic Cell Absolute Count",1
"CD24+ CD27+ B cell %lymphocyte",1
"IgD+ CD38+ B cell %B cell",1
"CD4 regulatory T cell %CD4+ T cell",1
"CD4 regulatory T cell %T cell",1
"Resting CD4 regulatory T cell Absolute Count",1
"Resting CD4 regulatory T cell %CD4 regulatory T cell",1
"Resting CD4 regulatory T cell %CD4+ T cell",1
"CD39+ resting CD4 regulatory T cell Absolute Count",1
"CD39+ resting CD4 regulatory T cell %resting CD4 regulatory T cell",1
"CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell",1
"Activated CD4 regulatory T cell %CD4 regulatory T cell",1
"CD39+ activated CD4 regulatory T cell Absolute Count",1
"CD39+ activated CD4 regulatory T cell %activated CD4 regulatory T cell",1
"CD39+ activated CD4 regulatory T cell %CD4 regulatory T cell",1
"Secreting CD4 regulatory T cell Absolute Count",1
"Secreting CD4 regulatory T cell %CD4 regulatory T cell",1
"Secreting CD4 regulatory T cell %CD4+ T cell",1
"CD39+ secreting CD4 regulatory T cell Absolute Count",1
"CD4-CD8- T cell %T cell",1
"Lymphocyte Absolute Count",1
"T cell Absolute Count",1
"T cell %lymphocyte",1
"CD4+ T cell %leukocyte",1
"CD4+CD8+ T cell %leukocyte",1
"CD4+ CD8dim T cell Absolute Count",1
"CD4+ CD8dim T cell %lymphocyte",1
"CD4+ CD8dim T cell %leukocyte",1
"CD8dim T cell %leukocyte",1
"CD4-CD8- T cell %leukocyte",1
"CD8+ and CD8dim T cell %leukocyte",1
"HLA DR+ T cell Absolute Count",1
"HLA DR+ T cell%T cell",1
"HLA DR+ T cell%lymphocyte",1
"Natural Killer T Absolute Count",1
"Natural Killer T %T cell",1
"Natural Killer T %lymphocyte",1
"HLA DR+ CD4+ T cell Absolute Count",1
"HLA DR+ CD4+ T cell %T cell",1
"HLA DR+ CD4+ T cell %lymphocyte",1
"HLA DR+ CD8+ T cell Absolute Count",1
"HLA DR+ CD8+ T cell %T cell",1
"HLA DR+ CD8+ T cell %lymphocyte",1
"CD8dim Natural Killer T Absolute Count",1
"CD8dim Natural Killer T %T cell",1
"CD8dim Natural Killer T %lymphocyte",1
"CD4-CD8- Natural Killer T Absolute Count",1
"CD4-CD8- Natural Killer T %T cell",1
"CD4-CD8- Natural Killer T %lymphocyte",1
"CD3- lymphocyte %lymphocyte",1
"CD3- lymphocyte %leukocyte",1
"B cell Absolute Count",1
